Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC
Date,,,,,,,,,,,,,,,,,,,,
2022-01-27,152.69525146484375,53.30950164794922,21.90279197692871,4326.509765625,153.8767911484943,54.45344289336052,23.949941032665212,4428.740234375,151.27204438439162,53.17544454172153,21.634296122293797,4309.5,151.62113317126017,53.515053377408194,23.523742843058645,4380.580078125,9066700,18893800,573353000,5214200000
2022-01-28,153.7693634033203,54.37300491333008,22.797109603881836,4431.85009765625,153.81412117581883,54.41768947538691,22.815075451930607,4432.72021484375,151.54057110933263,52.674964281462096,21.25600841056538,4292.4599609375,152.9369261990971,53.07713215840068,21.970663459736492,4336.18994140625,9783100,19101500,543774000,5031090000
2022-01-31,154.21693420410156,54.52493667602539,24.440021514892578,4515.5498046875,154.51231915186506,54.6411192723507,24.462979042497025,4516.89013671875,152.9011483941099,53.75635329437194,23.008714190792233,4414.02001953125,153.50981047447848,53.8904069893192,23.138469245849574,4431.7900390625,8054800,22045300,564680000,5098610000
2022-02-01,152.95484924316406,54.122764587402344,24.591737747192383,4546.5400390625,153.93945205810076,54.64111160504818,25.09778572349941,4550.490234375,151.65694198549917,53.76528129927789,23.845141169237973,4483.52978515625,153.72463657899402,54.435559907601274,25.056862343622143,4519.56982421875,8154700,20841700,518925000,4816830000
2022-02-02,154.64657592773438,54.67687225341797,25.194602966308594,4589.3798828125,154.84349920515703,54.757305839905214,25.768522130396807,4595.31005859375,151.8538520198107,54.12277610718027,24.506895639622556,4544.31982421875,151.8538520198107,54.17639622536242,25.74556650609357,4566.39013671875,7382800,20225600,543419000,4481580000
2022-02-03,154.63763427734375,55.061161041259766,23.90302848815918,4477.43994140625,155.40742163605182,55.21308924227076,25.029908072459417,4542.8798828125,153.0980595599276,54.14958160755257,23.735344703016967,4470.39013671875,154.19008380502873,54.462376967995056,24.412070997898297,4535.41015625,6240400,19440500,410178000,4401970000
2022-02-04,153.62615966796875,54.480247497558594,24.273334503173828,4500.52978515625,154.83453759235246,55.12371608829947,24.588741109350796,4539.66015625,152.27454867481816,54.13170314731178,23.587624264136814,4451.5,153.06224177503017,54.95391339205995,23.926985971116707,4482.7900390625,6392200,17403700,354829000,4706290000
2022-02-07,153.11598205566406,55.05221939086914,24.681568145751953,4483.8701171875,153.7246578664521,55.15946643138841,25.134714224947395,4521.85986328125,152.17612322995427,54.39087968706818,24.156554856715452,4471.47021484375,153.42927288362,54.85560663501096,24.326235718859127,4505.75,6065700,17846400,376868000,4228480000
2022-02-08,153.51870727539062,55.40970230102539,25.06085777282715,4521.5400390625,154.00206927404525,55.70462654646948,25.1826284503669,4531.31982421875,152.5967547002794,55.177340533365374,23.9349754129476,4465.39990234375,153.08011669893406,55.25777410855799,24.31326352452048,4480.02001953125,6296100,18771700,410359000,4459620000
2022-02-09,153.50083923339844,54.551753997802734,26.654857635498047,4587.18017578125,154.1721648251959,55.69569530642628,26.674820539667994,4590.02978515625,153.28601012708776,54.42663584332379,25.30539691614702,4547.0,154.01999933003364,55.561638192790824,25.573890933293747,4547.0,5387500,23595600,524282000,4524350000
2022-02-10,151.64797973632812,54.85560607910156,25.775508880615234,4504.080078125,153.25916394874972,55.677812926135566,26.874441331249937,4588.919921875,151.54057200821825,53.801034055844184,25.551930467088578,4484.31005859375,153.25021785745878,53.94402669920721,25.946189220246694,4553.240234375,10355300,23561500,513200000,5314860000
